stock_code,date_start,date_end,score,c1,c2,c3,股票名称,地区,行业,市场类型,上市状态,上市日期,是否沪深港通标的,企业性质,同花顺链接
603400.SH,2026-02-26,2026-03-02,-0.5941322799051496,73.18,74.0,73.05,华之杰,江苏,机械基件,主板,L,2025-06-20 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/603400/
688077.SH,2025-12-19,2025-12-23,-0.5952715770912491,30.64,30.95,30.69,大地熊,安徽,矿物制品,科创板,L,2020-07-22 00:00:00,N,自然人,https://stockpage.10jqka.com.cn/688077/
300076.SZ,2026-03-05,2026-03-09,-0.5958645856090228,7.68,7.78,7.69,GQY视讯,浙江,IT设备,创业板,L,2010-04-30 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/300076/
605081.SH,2026-03-05,2026-03-09,-0.596280806707419,9.8,9.93,9.8,*ST太和,上海,环境保护,主板,L,2021-02-09 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/605081/
300051.SZ,2026-02-03,2026-02-05,-0.5964707756059183,10.47,11.15,10.43,琏升科技,江苏,综合类,创业板,L,2010-02-11 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300051/
600824.SH,2026-01-06,2026-01-08,-0.5973598425948395,4.69,4.73,4.68,益民集团,上海,百货,主板,L,1994-02-04 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/600824/
300233.SZ,2026-03-05,2026-03-09,-0.5973703663941842,14.84,15.14,14.9,金城医药,山东,化学制药,创业板,L,2011-06-22 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/300233/
300449.SZ,2026-03-02,2026-03-04,-0.5976276849359828,8.43,8.55,8.43,汉邦高科,北京,IT设备,创业板,L,2015-04-22 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300449/
002192.SZ,2025-12-23,2025-12-25,-0.5976468889706169,52.68,54.23,52.68,融捷股份,广东,小金属,主板,L,2007-12-05 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/002192/
603650.SH,2026-01-08,2026-01-12,-0.5997743453761106,56.73,57.62,56.66,彤程新材,上海,化工原料,主板,L,2018-06-27 00:00:00,H,外资,https://stockpage.10jqka.com.cn/603650/
300650.SZ,2026-03-05,2026-03-09,-0.5998201648197605,17.08,17.33,17.11,太龙股份,福建,元器件,创业板,L,2017-05-03 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300650/
300591.SZ,2026-03-05,2026-03-09,-0.600548097092897,7.78,7.88,7.8,万里马,广东,服饰,创业板,L,2017-01-10 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/300591/
603031.SH,2026-03-05,2026-03-09,-0.6027181095323461,52.88,53.69,53.05,安孚科技,安徽,电气设备,主板,L,2016-08-22 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/603031/
